index,generated_output
19335,The product is 20 inches tall.
19336,The depth of the product is 5.9 inches.
19337,The wattage of the product is 700W.
19338,The height of the product is 9 cm.
19339,The maximum weight recommendation is 60 lb.
19340,The width of the product is 7.87 inches (200mm).
19341,The width of the product is 3.3 cm.
19342,The depth of the product is 3.3 cm.
19343,The depth of the product is 3.5 inches.
19344,The product is 6.4 inches tall.
19345,The width of the product is 5.5 cm (2.1 inches).
19346,The width of the product is 26.5 cm.
19347,The voltage rating of the product is 2.1A.
19348,The height of the product is 59 cm.
19349,The product has a height of 15.2 cm (6 inches).
19350,The maximum weight recommendation is 220 lbs.
19351,The height of the product is 25cm.
19352,The product has a height of 3.62 inches.
19353,The wattage of the product is 1050W.
19354,The depth of the product is 4.8 inches / 12.2 cm.
19355,The height of the product is 3.74 inches.
19356,The depth of the product is 3.74 inches.
19357,The width of the product is 3.74 inches.
19358,The depth of the product is 9 inches.
19359,The width of the product is 9 inches.
19360,The product has a width of 98mm.
19361,The product has a height of 98mm.
19362,The depth of the product is 28 inches.
19363,The width of the product is 28 inches.
19364,The product's item weight is not explicitly indicated in the image.
19365,The depth of the product is 4 inches.
19366,The product is 6 inches tall.
19367,The product illustration mentions the voltage rating as 120V.
19368,The product has a power rating of 1800 watts.
19369,The voltage rating of the product is 254 nm.
19370,The wattage of the product is not explicitly stated on the label.
19371,The height of the product is 2.5 meters or 8.2 feet.
19372,The depth of the product is 2.5 meters or 8.2 feet.
19373,The product has a height of 2.4 inches.
19374,The depth of the product is 3.5 inches or 9 cm.
19375,"The width of the product is 15 cm, which is 5.91 inches."
19376,The product in the picture is a white plastic item with a diameter of 15 cm (5.91 inches).
19377,"The depth of the product is 15 cm, which is approximately 5.91 inches."
19378,The width of the product is 89mm.
19379,The product has a width of 160mm.
19380,The maximum weight recommendation is 350 pounds.
19381,The product's item weight is 12 oz (340 g).
19382,The depth of the product is 3 inches.
19383,The width of the product is 3 inches.
19384,The product's item weight is 6.6 lbs.
19385,The width of the product is 5.5 cm (2.2 inches).
19386,The width of the product is 7 inches.
19387,The width of the product is 11.0 inches or 28.0 centimeters.
19388,The depth of the product is 2.6 inches or 6.5 centimeters.
19389,The depth of the product is 15.5 cm / 6.1 inches.
19390,The width of the product is 15.5 cm or 6.1 inches.
19391,The height of the product is 38.5 cm.
19392,The maximum weight recommendation is 30 lbs.
19393,The height of the product is 32 cm.
19394,The depth of the product is 3.54 inches or 9 cm.
19395,The height of the product is 3.54 inches or 9 cm.
19396,The width of the product in the image is 110 cm.
19397,The depth of the product is 110 cm.
19398,The product has a height of 110 cm.
19399,The product's item weight is 1090g.
19400,The depth of the product is 65mm.
19401,The width of the product is 65mm.
19402,The width of the product is 100 inches.
19403,The product is a 100-inch projector screen.
19404,The depth of the product is 100 inches.
19405,The width of the product is 20mm.
19406,"The depth of the product is 23 cm, which is approximately 9 inches."
19407,The product has a height of 43 cm (16.9 inches).
19408,The width of the product is 1.8 inches or 4.5 cm.
19409,The height of the product is 1.8 inches or 4.5 cm.
19410,The depth of the product is 6.17 inches (15.70 cm).
19411,The width of the product is 9.82 inches (25.00 cm).
19412,The product's item weight is 260 g.
19413,The product is 14.6 inches tall.
19414,The height of the product is 9.84 inches.
19415,The height of the product is 160 cm.
19416,The wattage of the product is 1000 watts.
19417,The product illustration mentions a voltage rating of 120V.
19418,The depth of the product is 6 cm.
19419,The width of the product is 4cm.
19420,The depth of the product is 2.56 inches.
19421,The height of the product is 5.11 inches (13 cm).
19422,The width of the product is 0.63 inches (1.6 centimeters).
19423,The depth of the product is 0.63 inches (1.6 centimeters).
19424,The depth of the product is 90.2 cm.
19425,The width of the product is 90.2 cm.
19426,The product has a height of 170 cm.
19427,The depth of the product is 1.4 inches.
19428,The product's item weight is not explicitly indicated in the image.
19429,The maximum weight recommendation is 31 kg.
19430,The product is 22 cm tall.
19431,The depth of the product is 15 cm.
19432,"The height of the product is 4 inches, which is equivalent to 10.16 centimeters."
19433,The depth of the product is 4 inches or 10.16 centimeters.
19434,"The width of the product is 4 inches, which is 10.16 centimeters."
19435,The width of the product is 3.4 inches.
19436,The voltage rating of the product is 220-240V.
19437,The product's item weight is 750W.
19438,The wattage of the product is 750W.
19439,The product has a height of 0.87 inches.
19440,The depth of the product is 0.87 inches.
19441,The product has a width of 0.87 inches.
19442,The depth of the product is 20.83 inches or 53 centimeters.
19443,The depth of the product is 14 cm.
19444,The height of the product is 14 cm.
19445,The product has a height of 29 inches.
19446,The depth of the product is 29 inches.
19447,The height of the product is 51 cm.
19448,The depth of the product is 9.5 cm / 3.73 inches.
19449,"The height of the product is 9.5 cm, which is approximately 3.73 inches."
19450,The image does not provide a specific weight measurement for the product.
19451,The product's item weight is 6.2 lbs.
19452,The maximum weight recommendation for the equipment shown in the image is 93 pounds.
19453,The assembled weight of the equipment is 93 pounds.
19454,The maximum weight recommendation is 250 kg.
19455,The product's item weight is 250 kg.
19456,The depth of the product is 4.5 cm.
19457,The height of the product is 4.5 cm.
19458,The product has a height of 19 cm (7.48 inches).
19459,The depth of the product is 5 cm.
19460,The height of the product is 61 cm.
19461,The depth of the product is 25.98 inches or 66 cm.
19462,The width of the product is 18.1 inches or 46 centimeters.
19463,The depth of the product is 28 inches.
19464,The width of the product is 20 inches.
19465,The depth of the product is 5 feet.
19466,The depth of the product is 7.0 cm.
19467,The product has a width of 18.5 cm.
19468,The depth of the product is 103cm.
19469,The product is 103cm wide.
19470,The height of the product is 26 cm.
19471,The depth of the product is 75 cm.
19472,The product in the picture is a roll of paper with a pattern on it. The height of the product is 75 cm.
19473,The product's item weight is 150 kg (222 lbs).
19474,The height of the product is 18cm.
19475,The depth of the product is 9.13 inches.
19476,The width of the product is 9.13 inches.
19477,The product's item weight is 7 lbs.
19478,The voltage rating mentioned in the product illustration is 5V.
19479,The product's item weight is 14 oz.
19480,"The product is a milk shake, and the volume can be calculated by multiplying the width by the depth and then by the height. The visible dimensions are:

- Width: 14 oz
- Depth: 14 oz
- Height: 14 oz

The volume is calculated as follows:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]
\[ \text{Volume} = 14 \, \text{oz} \times 14 \, \text{oz} \times 14 \, \text{oz} \]
\[ \text{Volume} = 274 \, \text{cubic ounces} \]

Therefore, the volume of the product is 274 cubic ounces."
19481,The height of the product is 40 cm.
19482,The width of the product is 35 mm.
19483,The depth of the product is 145cm - 220cm.
19484,The width of the product is 60cm (23.6 inches).
19485,The height of the product is 5 cm.
19486,The depth of the product is 5 cm.
19487,The height of the product is 590 mm.
19488,The maximum weight recommendation for the scooter is 110 lbs (50 kg).
19489,The product has a height of 8.5 cm.
19490,The product has a width of 13 cm.
19491,"The product illustration does not provide specific voltage ratings. However, it does mention that the product is suitable for indoor and outdoor use, which suggests that it may be designed for various voltages."
19492,The voltage rating of the product is 1500 W.
19493,The wattage of the product is 1500 Watts.
19494,The image does not provide a label indicating the maximum weight recommendation for the baby in the shark-shaped pool float.
19495,The width of the product is 12.3 cm.
19496,The depth of the product is 12.3 cm.
19497,The product has a width of 19.2 cm.
19498,The product is 8 cm tall.
19499,The depth of the product is 11cm.
19500,The height of the product is 11 cm.
19501,The depth of the product is 2.75 inches or 7 cm.
19502,The height of the product is 6.7 inches or 17 cm.
19503,The depth of the product is 130mm.
19504,The width of the product is 130mm.
19505,The image does not provide a label indicating the maximum weight recommendation.
19506,The height of the product is 62 cm.
19507,The height of the product is 14.57 inches.
19508,The depth of the product is 10.24 inches.
19509,The height of the product is 1.5 cm.
19510,The width of the product is 9 cm.
19511,The width of the product is 13.5 inches.
19512,The product has a height of 4.9 inches (12.6 cm).
19513,The width of the product is 300 cm.
19514,The product has a height of 1078 mm.
19515,The product is 18.5 inches tall.
19516,The depth of the product is 18.5 inches.
19517,The height of the product is 14 cm.
19518,The depth of the product is 210 cm (6.9 feet).
19519,The width of the product is 26cm.
19520,The depth of the product is 4.5 cm.
19521,The depth of the product is 30 cm.
19522,The height of the product in the image is 30 cm.
19523,The width of the product is 30 cm.
19524,The height of the product is 55 cm.
19525,The product has a height of 6.5 cm (2.5 inches).
19526,The depth of the product is 6.5 cm (2.5 inches).
19527,The product's item weight is 16 grams.
19528,The height of the product is 83 cm.
19529,The width of the product is 6.22 inches.
19530,The height of the product is 32cm.
19531,The height of the product is 5.9 inches.
19532,The voltage rating of the product is 100V.
19533,The product has a power consumption of 600W.
19534,The product's item weight is 2.2 kg (kg).
19535,The depth of the product is 78 cm (30.7 inches).
19536,The width of the product is 90 cm (35.4 inches).
19537,"The height of the product can be identified by the measurements provided for each size:

- L: 17 cm (6.7 inches)
- M: 15 cm (5.9 inches)
- S: 13.5 cm (5.3 inches)

These measurements give you an idea of the length of each spoon."
19538,The height of the product is 1200 mm.
19539,The product has a height of 26 cm (10.24 inches).
19540,The product is 24 cm tall.
19541,The product is 4.2cm deep.
19542,The product is 6 cm tall.
19543,The product has a height of 4.7 inches.
19544,The depth of the product is 56cm.
19545,The width of the product is 80cm.
19546,The product's item weight is 17.7 oz (522 g).
19547,The product has a height of 10 cm (3.9 inches).
19548,The width of the product is 6 inches.
19549,The width of the product is 17 cm.
19550,The width of the product is 18.5 cm.
19551,The product has a height of 18.5 cm.
19552,The product has a height of 18 inches (45.7 cm).
19553,The product's item weight is 32 oz (916 ml).
19554,The voltage rating of the product is 5V with a current rating of 2.1A.
19555,"The width of the product is 5.5 cm for the large size, 5.3 cm for the medium size, and 5 cm for the mini size."
19556,The wattage of the product is 1200 watts.
19557,The product illustration does not provide the voltage rating.
19558,The product has a height of 25 cm.
19559,The depth of the product is 25 cm.
19560,The depth of the product is 8.4 inches (21.4 cm).
19561,The width of the product is 8.4 inches or 21.4 centimeters.
19562,The height of the product is 3 1/4 inches.
19563,The depth of the product is 37 cm.
19564,The voltage rating of the product is 2.5V.
19565,The depth of the product is 75 cm.
19566,The width of the product is 30cm.
19569,The product has a height of 39mm (1.5 inches).
19570,The product's net weight is 10.86 oz (308 g).
19571,The height of the product is 38 cm (15 inches).
19572,The maximum weight recommendation in the image is 330 lbs.
19573,The depth of the product is 12 inches.
19574,The width of the product is 12 inches.
19575,The height of the product is 12 inches.
19576,The width of the product is 2.17 inches.
19577,The depth of the product is 0.79 inches.
19578,The height of the product is 36cm or 14.04 inches.
19579,The depth of the product is 36cm/14.04in.
19580,The width of the product is 36cm or 14.04 inches.
19581,The width of the product is 25mm.
19582,The wattage of the product is 13 watts.
19583,The voltage rating of the product is 110-120V.
19584,The width of the product is 80 cm (31.5 inches).
19585,The product has a height of 60 cm (23.5 inches).
19586,The depth of the product is 2.5 inches.
19587,The depth of the product is 7.08 inches or 18 cm.
19588,The depth of the product is 36 inches.
19589,The product has a height of 36 inches.
19590,The width of the product is 24 inches.
19591,The product's item weight is 115g.
19592,The width of the product is 29cm or 12 inches.
19593,The product has a height of 29cm (11.4 inches).
19594,The depth of the product is 2.9 inches or 7.5 centimeters.
19595,The height of the product is 7.5 inches or 19 centimeters.
19596,The volume of the product is 30 mL.
19597,The width of the product is 1.5 inches or 4 centimeters.
19598,The height of the product is 21 cm.
19599,The product has a height of 7 cm (2.8 inches).
19600,The depth of the product is 4.5 inches.
19601,The width of the product is 1.46 inches.
19602,The product is 130 cm tall.
19603,The width of the product is 130 cm.
19604,The height of the product is 2.81 inches.
19605,The depth of the product is 2.81 inches.
19606,The width of the product is 10.5 cm.
19607,The width of the product is 24.5 cm / 9.6 inches.
19608,The width of the product is 21.7 inches.
19609,The depth of the product is 7.1 inches.
19610,The width of the product is 5.2 cm or 2 inches.
19611,The depth of the product is 5.2 cm / 2 in.
19612,The maximum weight recommendation is 100 kg (220 lb).
19613,The product has a height of 200 cm.
19614,The product's item weight is 0.18 lb.
19615,The width of the product is 6.45 inches.
19616,The depth of the product is 2.83 inches.
19617,The height of the product is 39.56 inches.
19618,The product is 14 inches tall.
19619,The product is 14 inches tall.
19620,The product has a height of 10.2 cm.
19621,"The height of the product is 4.7 cm, which is equivalent to 1.85 inches."
19622,The height of the product is 96 cm.
19623,The product has a height of 4.33 inches.
19624,The width of the product is 2.5 inches.
19625,The depth of the product is 3 inches.
19626,The height of the product is 72 inches.
19627,The product is 21.08 cm (8.3 inches) long and 6 cm (2.4 inches) wide.
19628,The height of the product is 6 cm (2.4 inches).
19629,The product is rated at 220V output.
19630,The product weighs 1000W.
19631,The wattage of the product is 1000W.
19632,The height of the product is 340mm.
19633,The height of the product is 40mm.
19634,The width of the product is 34mm.
19635,The depth of the product is 0.9 inches (22 mm).
19636,The height of the product is 26.5 cm.
19637,The height of the product is 23.0 inches.
19638,The width of the product is 18cm (7.09 inches).
19639,The depth of the product is 18cm/7.09in.
19640,The width of the product is 45cm or 18 inches.
19641,The depth of the product is 45cm or 18 inches.
19642,The depth of the product is 150cm.
19643,The width of the product is 20.5 cm.
19644,The product has a height of 20.5 cm.
19645,The product has a height of 3.66 inches (9.3 cm).
19646,The maximum weight recommendation is 300 lbs.
19647,The height of the product is 155mm.
19648,The depth of the product is 3 Versions.
19649,The height of the product is 8 inches.
19650,The depth of the product is 3 inches.
19651,The width of the product is 94.5 cm.
19652,The height of the product is 49 cm.
19653,The height of the product is 65mm.
19654,"The depth of the product is 65mm, which is 2.5 inches."
19655,The height of the product is 240 cm.
19656,"The depth of the product is 240 cm, which is approximately 94.45 inches."
19657,The height of the product is 4.64 inches.
19658,The height of the product is 4.7 inches (12 cm).
19659,The width of the product is 21CM.
19660,The depth of the product is 30CM.
19661,The height of the product is 212 mm.
19662,The product's item weight is 30g.
19663,The depth of the product is 30mm.
19664,The height of the product is 9 cm.
19665,The depth of the product is 9 cm.
19666,The volume of the product is 473 ml.
19667,The maximum weight recommendation is 100 lbs.
19668,The width of the product is 7.2 cm or 2.8 inches.
19669,The height of the product is 77CM.
19670,The depth of the product is 77CM.
19671,The product has a height of 43 cm.
19672,The depth of the product is 6.5 inches.
19673,The product is 6.5 inches wide.
19674,The height of the product is 6.5 inches.
19675,The voltage rating of the product is 5V 1A.
19676,The width of the product is 9.5 cm.
19677,The height of the product is 9.5 cm.
19678,The depth of the product is 9.5 cm.
19679,The depth of the product is 13.30 inches.
19680,The width of the product is 48.00 inches.
19681,The voltage rating of the product is 120V.
19682,The wattage of the product is not explicitly mentioned in the image.
19683,The product's item weight is 19.7 lbs.
19684,The height of the product is 3 cm (1.18 cm).
19685,The depth of the product is 32cm.
19686,The height of the product is 32 cm.
19687,The width of the product is 14cm.
19688,The product has a height of 20 inches or 50.5 centimeters.
19689,The width of the product is 14 inches or 35.5 centimeters.
19690,The depth of the product is 14 inches or 35.5 centimeters.
19691,The depth of the product is 130 mm.
19692,The height of the product is 45 cm.
19693,The width of the product is 11.8 inches.
19694,"The product is a table lamp with a glass lampshade and a metal base. The voltage rating is not explicitly mentioned in the product illustration. However, the product is designed to be easily installed, which suggests that it may have a simple wiring system."
19695,The height of the product is 52 cm.
19696,The height of the product is 39.5 cm (15.5 inches).
19697,The width of the product is 39.5 cm or 15.5 inches.
19698,The depth of the product is 39 inches.
19699,The height of the product is 39 inches.
19700,The product's item weight is 1.75 oz (50g).
19701,The product's item weight is 0.75 kg (1.65 lbs).
19702,The voltage rating of the product is 220V.
19703,The height of the product is 72 cm.
19704,The product's item weight is not explicitly indicated in the image.
19705,The product illustration mentions the voltage rating as 220-240V.
19706,The product is a 530mm x 560mm x 590mm electric stove.
19707,The product's item weight is not explicitly indicated in the image.
19708,The voltage rating of the product is 110V.
19709,The wattage of the product is 1250W.
19710,The product's item weight is 1 kg (35.3oz).
19711,The height of the product is 20cm or 7.9 inches.
19712,The width of the product is 20cm or 7.9 inches.
19713,The width of the product is 3.14 inches (8 cm).
19714,The height of the product is 17.7 inches (45 cm).
19715,The height of the product is 100 cm.
19716,The depth of the product is 17.7 inches or 45.0 centimeters.
19717,The height of the product is 17.7 inches or 45.0 centimeters.
19718,The height of the product is 5.71 inches or 145 mm.
19719,The depth of the product is 3.74 inches or 95mm.
19720,The width of the product is 5.71 inches or 145 mm.
19721,The product's item weight is 600 lbs.
19722,The height of the product is 142mm.
19723,The product size is 16.5 cm (6.5 inches) tall and 7 cm (2.75 inches) wide.
19724,The width of the product is 7cm (2.75 inches).
19725,The product is 16.5 cm tall.
19726,The product's item weight is 18 oz (510g).
19727,The width of the product is 1.89 inches (48mm).
19728,The product has a height of 18 cm.
19729,The product has a height of 10cm (3.9 inches).
19730,The width of the product is 7.6 cm or 3.0 inches.
19731,The depth of the product is 7.6cm / 3.0in.
19732,The width of the product is 25 cm.
19733,The product has a height of 25 cm.
19734,The item weight of the product is 5.2 pounds.
19735,The product's item weight is 2.6 oz (74g).
19736,The product's item weight is not explicitly indicated in the image.
19737,The height of the product is 8 cm.
19738,The product is 8 inches tall.
19739,The height of the product is 6.29 inches or 16.0 centimeters.
19740,The product's item weight is 8.35 kg (18.37 lb).
19741,The width of the product is 7.08 inches.
19742,The depth of the product is 7.08 inches.
19743,The product's item weight is 22.9 grams.
19744,The depth of the product is 4.9 inches.
19745,The width of the product is 4.9 inches.
19746,The product has a height of 58 cm.
19747,The depth of the product is 12 cm.
19748,The depth of the product is 13 cm.
19749,The product has a height of 155mm.
19750,The height of the product is 4.64 inches or 11.7 cm.
19751,The depth of the product is 4.64 inches or 11.8 centimeters.
19752,The maximum weight recommendation is 330 lbs.
19753,The depth of the product is 9 inches or 23 cm.
19754,The product has a height of 40 millimeters (1.58 inches).
19755,The width of the product is 40 millimeters (mm).
19756,The height of the product is 33.5 inches.
19757,The height of the product is 12 inches.
19758,The product illustration does not provide information about the voltage rating.
19759,"The wattage of the product is not explicitly mentioned in the image. However, the product is a gaming laptop, which typically has a power rating of 150-250 watts. This rating is based on the power consumption of the laptop's components, including the processor, graphics card, and other power-hungry components."
19760,The width of the product is 27 cm or 10.63 inches.
19761,The height of the product is 27 cm (10.63 inches).
19762,The height of the product is 10CM/4INCH.
19763,"The height of the product is 27.2 cm, which is approximately 10.7 inches."
19764,The product has a width of 31 cm (12.2 inches).
19765,The product has a width of 5.71 inches (14.5 cm).
19766,The depth of the product is 10.04 inches / 25.5 cm.
19767,The depth of the product is 6 inches.
19768,The height of the product is 9 inches.
19769,The depth of the product is 49mm.
19770,The width of the product is 140 cm or 55.1 inches.
19771,The depth of the product is 70cm (27.6 inches).
19772,The height of the product is 76 cm.
19773,The product has a height of 7 cm.
19774,The height of the product is 28mm.
19775,The maximum weight recommendation is 50 kg.
19776,The product has a width of 12.5 cm.
19777,The product has a height of 17 cm.
19778,The width of the product is 62.5 cm (24.6 inches).
19779,The height of the product is 3 inches (7.5 cm).
19780,The width of the product is 1.6 inches or 4.0 centimeters.
19781,The width of the product is 254 cm.
19782,The product has a height of 15 cm (5.9 inches).
19783,The product has a height of 1.90 inches.
19784,The height of the product is 128 cm.
19785,The product has a height of 64 inches (162.6 cm).
19786,The depth of the product is 18 inches.
19787,The width of the product is 18 inches.
19788,The product is 18 inches tall.
19789,The width of the product is 8.5 cm (3.34 inches).
19790,The product has a height of 19 cm (7.48 inches).
19791,"To determine the volume of the Kool-Aid Jammers Sharkleberry Fizz, we need to calculate the volume of the box and then multiply it by the number of pouches inside the box.

1. **Calculate the volume of the box:**
   - The box is rectangular.
   - The width is 10 inches.
   - The depth is 4 inches.
   - The height is 4 inches.

   The volume \( V \) of a rectangular prism (which is the shape of the box) is given by the formula:
   \[
   V = \text{width} \times \text{depth} \times \text{height}
   \]

   Plugging in the dimensions:
   \[
   V = 10 \, \text{inches} \times 4 \, \text{inches} \times 4 \, \text{inches} = 160 \, \text{cubic inches}
   \]

2. **Calculate the volume of one pouch:**
   - The volume of one pouch is the volume of the box divided by the number of pouches inside the box.
   - The number of pouches is 10.

   So, the volume of one pouch is:
   \[
   \text{Volume per pouch} = \frac{160 \, \text{cubic inches}}{10} = 16 \, \text{cubic inches}
   \]

3. **Calculate the total volume of the product:**
   - The total volume of the product is the volume of the box multiplied by the number of pouches.
   - The total volume is:
   \[
   \text{Total volume} = 160 \, \text{cubic inches} \times 10 = 1600 \, \text{cubic inches}
   \]

Therefore, the volume of the Kool-Aid Jammers Sharkleberry Fizz is 1600 cubic inches."
19792,The width of the product is 16 inches.
19793,The width of the product is 21.6 cm.
19794,The product is a 4K UHD Smart Waterproof Outdoor TV.
19795,"The product illustration mentions the following electrical specifications:

- 4K UHD (Ultra High Definition)
- Weatherproof
- Strong and durable
- Stereo sound
- HDR (High Dynamic Range)
- Daylight Readable
- 500 NIT brightness
- IP66 remote control

The voltage rating is not explicitly mentioned in the image."
19796,The product has a height of 380 mm.
19797,"The product illustration does not provide specific voltage ratings. However, it does mention that the candles are safe and odorless, which suggests that they are likely to be battery-powered. Battery-powered candles typically have a voltage rating of 12V or 24V, depending on the type of battery used."
19798,The depth of the product is 13.3 cm.
19799,"The depth of the product is 6 cm, which is 2.4 inches."
19800,The depth of the product is 75 cm (29.5 inches).
19801,The width of the product is 105 cm (41.3 inches).
19802,The depth of the product is 6.8 cm.
19803,The height of the product is 23.3 cm.
19804,The width of the product is 2.8 inches.
19805,The depth of the product is 2.8 inches.
19806,The depth of the product is 2.7 cm.
19807,The width of the product is 2.7 cm.
19808,The height of the product is 28 inches.
19809,The width of the product is 26 inches.
19810,The product has a height of 35 cm.
19811,The depth of the product is 3 cm or 1.18 inches.
19812,The depth of the product is 3 inches.
19813,The height of the product is 4 inches.
19814,The width of the product is 4 cm.
19815,The depth of the product is 4 cm.
19816,The depth of the product is 50mm.
19817,The product has a width of 110mm.
19818,The height of the product is 40 cm.
19819,The width of the product is 70 cm.
19820,The product has a height of 22 cm.
19821,The item weight is 5.0 pounds.
19822,"The depth of the product is 78mm, which is approximately 3.07 inches."
19823,The product has a height of 80mm (3.15 inches).
19824,The product has a height of 26 cm (10.23 inches).
19825,The width of the product is 14.5 cm (5.70 inches).
19826,The depth of the product is 1.60 inches.
19827,The wattage of the product is not explicitly mentioned in the image.
19828,"The product illustration does not provide specific information about the voltage rating. However, it does mention that the product is compatible with various power cords, which suggests that it can be powered by different voltage levels."
19829,The product has a height of 42 cm.
19830,"The depth of the product is 70mm, which is approximately 2.75 inches."
19831,The height of the product is 3.1 inches or 8 centimeters.
19832,"The product is a laptop, not a power source. Therefore, there is no wattage information provided for this product."
19833,The voltage rating of the product is 12V.
19834,The product's item weight is 32 lbs.
19835,The product is 1.73 inches tall.
19836,The depth of the product is 1.73 inches or 4.4 centimeters.
19837,The height of the product is 2.1 inches or 5.5 cm.
19838,The width of the product in the image is 2.8 inches (7 cm).
19839,The height of the product is 15.7 inches.
19840,The depth of the product is 16 cm (6.3 inches).
19841,The width of the product is 13.3 cm (5.23 inches).
19842,The image does not provide a label for the product's item weight.
19843,The product has a height of 21 inches.
19844,The width of the product is 23.5 inches.
19845,The width of the product is 35.5 cm.
19846,The depth of the product is 85mm.
19847,The product has a height of 85mm.
19848,The product's item weight is not explicitly indicated in the image.
19849,The voltage rating of the product is 120 volts.
19850,The wattage of the product is 32 watts.
19851,The product has a power output of 460W.
19852,The product's item weight is not explicitly indicated in the image.
19853,The voltage rating of the product is 460W.
19854,The product has a height of 3.80 inches.
19855,The depth of the product is 0.90 inches.
19856,The maximum weight recommendation is 150KG.
19857,The width of the product is 2.9 inches or 7.5 centimeters.
19858,The product is a 20V battery pack with a capacity of 2.0Ah.
19859,The voltage rating of the product is 20V.
19860,The depth of the product is 175cm.
19861,The depth of the product is 4 feet (120 cm).
19862,The width of the product is 4 feet (4 FT).
19863,The product has a height of 320mm.
19864,The product's item weight is not explicitly indicated in the image.
19865,The depth of the product is 25cm.
19866,The product has a height of 25cm.
19867,The width of the product is 7.8 cm.
19868,The depth of the product is 9.5 cm / 3.7 inches when it is open.
19869,The product is 9.5 cm wide.
19870,"The product's item weight is not explicitly indicated in the image. However, the image provides information about the airflow and energy cost, which are related to the product's performance and energy consumption."
19871,The voltage rating of the product is 120 Volts.
19872,The wattage of the product is 15 Watts.
19873,The depth of the product is 7.8 inches (20.0 cm).
19874,The height of the product is 7.8 inches (20.0 cm).
19875,The product's item weight is not explicitly indicated in the image.
19876,The width of the product is 20 cm.
19877,The height of the product is 20 cm.
19878,The depth of the product is 3 feet.
19879,The depth of the product is 22 cm (8.6 inches).
19880,The depth of the product is 2.36 inches.
19881,The width of the product is 2.36 inches.
19882,The depth of the product is 5 cm (2 inches).
19883,The width of the product is 19 cm (7.5 inches).
19884,The wattage of the product is 45 Watts.
19885,The product's item weight is not explicitly indicated in the image.
19886,The voltage rating of the product is 120 volts.
19887,The product is 14 inches tall.
19888,The width of the product is 10.5 cm.
19889,The depth of the product is 10.5 cm.
19890,The width of the product is 7.6 inches.
19891,The product has a height of 4.9 inches.
19892,The depth of the product is 180 mm (7.1 inches).
19893,The width of the product is 375 mm (14.8 inches).
19894,The product has a height of 375 mm (14.8 inches).
19895,The maximum weight recommendation is 264.5 lb.
19896,"The height of the product is 13 cm, which is 5.1 inches."
19897,The product has a height of 16 cm.
19898,The product has a width of 4.5 cm.
19899,The height of the product is 6.5 inches.
19900,The wattage of the product is 9W.
19901,The product's item weight is not explicitly indicated in the image.
19902,The height of the product is 28 inches.
19903,The width of the product is 9.37 inches.
19904,The depth of the product is 7 feet.
19905,The height of the product is 10 feet.
19906,The product's net contents are 1.5 pounds (680 grams).
19907,The voltage rating of the product is 750W.
19908,The product's item weight is 16 oz (473 ml).
19909,"The product appears to be a set of stationery items, including a notebook, a sticker sheet, and a magnet. The items are arranged in a visually appealing manner, with each item clearly labeled and presented in a grid format. The depth of the product can be inferred from the variety of items included, each with its own purpose and aesthetic appeal."
19910,The maximum weight recommendation is 35 pounds.
19911,The height of the product is 17.7 cm.
19912,The product's item weight is 3 pounds (lb).
19913,The width of the product is 9.44 inches.
19914,"The height of the product is 20 cm, which is equivalent to 7.87 inches."
19915,"The depth of the product is 20 cm, which is approximately 7.87 inches."
19916,The product has a depth of 52mm.
19917,The product has a width of 52mm.
19918,The product has a height of 5.8 inches (14.8 cm).
19919,The depth of the product is 3.6 inches or 9.2 centimeters.
19920,The height of the product is 24 inches.
19921,The product's item weight is 10 pounds (lb).
19922,The maximum weight recommendation is 100 kg.
19923,The volume of the product is 2 fluid ounces (2 fl oz).
19924,The product is a 27-inch Full HD (1920 x 1080) curved display monitor. The voltage rating is not explicitly mentioned in the product illustration.
19925,The depth of the product is 85 cm.
19926,The height of the product is 17.5 cm or 6.9 cm.
19927,The product is 17 cm deep.
19928,The width of the product is 17cm.
19929,The height of the product is 3.54 inches.
19930,The width of the product is 2.76 inches.
19931,The depth of the product is 3.54 inches.
19932,The product has a height of 50 cm (20 inches).
19933,The width of the product is 9cm or 3.54 inches.
19934,The depth of the product is 9 cm or 3.54 inches.
19935,The product has a width of 3.8 cm (1.5 inches) at the top and 7.5 cm (3 inches) at the bottom.
19936,The width of the product is 25cm or 9 inches.
19937,The height of the product is 25cm or 9 inches.
19938,The depth of the product is 280mm.
19939,The height of the product is 450mm.
19940,The height of the product is 11.6 inches.
19941,The product's item weight is 400g.
19942,The product has a height of 2.5 cm.
19943,The height of the product is 16 inches.
19944,The depth of the product is 23cm/9 inches.
19945,The depth of the product is 55mm.
19946,The height of the product is 135mm.
19947,The height of the product is 50 cm.
19948,The width of the product is 50 cm.
19949,The product has a height of 5.9 cm.
19950,The height of the product is 35 cm.
19951,The depth of the product is 35 cm.
19952,The height of the product is 25 cm.
19953,The width of the product is 11.3 cm.
19954,The width of the product is 11.34 inches.
19955,The depth of the product is 11.34 inches.
19956,The voltage rating of the product is 18V.
19957,The product has a width of 8 cm.
19958,The product has a height of 8 cm.
19959,The depth of the product is 4.13 inches.
19960,The depth of the product is 3.6 cm.
19961,The product has a height of 30 cm.
19962,The height of the product is 120CM.
19963,The width of the product is 23.5 inches.
